Date,Open,High,Low,Close,Volume
2026-01-01,25000.0,25028.82,24695.57,24770.76,138830607
2026-01-04,24770.76,24872.48,24451.01,24486.91,117479801
2026-01-05,24486.91,24530.73,24315.7,24422.52,92376030
2026-01-06,24422.52,24706.03,24352.26,24696.9,188985074
2026-01-07,24696.9,25014.59,24647.6,24952.84,65206384
2026-01-08,24952.84,25091.62,24880.13,24980.35,120612770
2026-01-11,24980.35,25076.25,24927.72,25072.22,103824331
2026-01-12,25072.22,25168.09,24955.2,24972.66,196857640
2026-01-13,24972.66,25203.67,24878.1,25162.51,66731181
2026-01-14,25162.51,25171.68,24883.58,25002.85,59492434
2026-01-15,25002.85,25011.7,24858.31,24910.35,71634148
2026-01-18,24910.35,25201.66,24894.22,25142.03,61204758
2026-01-19,25142.03,25204.46,24874.8,24903.12,144021581
2026-01-20,24903.12,24940.9,24756.37,24862.19,111137554
2026-01-21,24862.19,24869.07,24480.47,24576.64,102660133
2026-01-22,24576.64,24702.52,24492.84,24596.8,54857302
2026-01-25,24596.8,24634.2,24502.63,24627.79,83618157
2026-01-26,24627.79,24680.35,24569.29,24586.25,167562075
2026-01-27,24586.25,24661.93,24249.77,24360.84,144432667
2026-01-28,24360.84,24414.01,24174.67,24181.73,112285999
2026-01-29,24181.73,24182.95,23895.0,23944.94,193939809
2026-02-01,23944.94,24102.69,23943.16,23984.05,117088033
2026-02-02,23984.05,24173.19,23968.85,24164.0,98477693
2026-02-03,24164.0,24201.95,23965.14,24037.92,115563841
2026-02-04,24037.92,24340.86,23990.11,24325.27,82850153
2026-02-05,24325.27,24425.98,24211.14,24416.69,105260380
2026-02-08,24416.69,24506.45,24370.14,24413.72,109132919
2026-02-09,24413.72,24450.67,24335.85,24380.64,198016879
2026-02-10,24380.64,24460.32,24195.11,24259.33,121815947
2026-02-11,24259.33,24325.0,24141.21,24153.87,143049245
2026-02-12,24153.87,24471.19,24078.77,24385.99,125103905
2026-02-15,24385.99,24497.2,24036.68,24139.27,189853516
2026-02-16,24139.27,24228.82,23957.72,23983.16,149962675
2026-02-17,23983.16,24207.11,23978.86,24112.62,113110583
2026-02-18,24112.62,24305.75,24057.91,24227.4,80665701
2026-02-19,24227.4,24328.71,23916.31,23949.05,153126636
2026-02-22,23949.05,24064.62,23827.18,23834.33,153062104
2026-02-23,23834.33,23937.15,23785.83,23831.67,61922708
2026-02-24,23831.67,23876.87,23595.43,23674.07,192939716
2026-02-25,23674.07,23710.19,23355.57,23419.67,143363069
2026-02-26,23419.67,23771.99,23331.32,23665.42,140252911
2026-03-01,23665.42,24012.88,23569.55,23905.5,108128127
2026-03-02,23905.5,24093.84,23806.38,24053.09,166521391
2026-03-03,24053.09,24358.34,23941.42,24264.22,65332655
2026-03-04,24264.22,24510.36,24148.66,24443.23,127153308
2026-03-05,24443.23,24768.19,24386.58,24653.55,189294610
2026-03-08,24653.55,24771.92,24454.0,24511.61,113948549
2026-03-09,24511.61,24513.47,24197.05,24295.05,123656763
2026-03-10,24295.05,24325.41,23987.44,24053.38,140605651
2026-03-11,24053.38,24099.05,24020.39,24094.41,122141317
2026-03-12,24094.41,24280.75,23996.8,24186.49,53312256
2026-03-15,24186.49,24255.23,23929.59,23968.41,121005887
2026-03-16,23968.41,24221.55,23966.34,24168.36,52381210
2026-03-17,24168.36,24285.08,24090.86,24148.89,199413433
2026-03-18,24148.89,24155.96,23872.0,23985.36,124207818
2026-03-19,23985.36,24280.05,23871.03,24213.92,168229583
2026-03-22,24213.92,24306.66,23994.41,24027.84,182856472
2026-03-23,24027.84,24103.57,23795.22,23812.87,63308942
2026-03-24,23812.87,23890.81,23638.15,23660.09,186021395
2026-03-25,23660.09,23933.44,23655.13,23864.84,111190513
2026-03-26,23864.84,23950.1,23582.38,23613.29,119107387
2026-03-29,23613.29,23713.05,23238.77,23339.06,195073621
2026-03-30,23339.06,23531.43,23298.25,23461.35,70798148
2026-03-31,23461.35,23478.54,23452.26,23465.26,104772085
2026-04-01,23465.26,23508.83,23270.63,23367.15,161661008
2026-04-02,23367.15,23416.98,23093.71,23126.78,56628906
2026-04-05,23126.78,23217.92,22991.76,23030.5,159558588
2026-04-06,23030.5,23293.3,22921.97,23250.15,128936945
2026-04-07,23250.15,23336.82,23244.96,23318.18,90282297
2026-04-08,23318.18,23551.66,23247.17,23548.68,134048688
2026-04-09,23548.68,23646.72,23488.84,23554.78,142355954
2026-04-12,23554.78,23848.1,23486.15,23803.48,90285366
2026-04-13,23803.48,23922.24,23726.21,23735.55,70753131
2026-04-14,23735.55,24114.58,23668.45,23996.81,197165183
2026-04-15,23996.81,24196.22,23982.26,24131.55,191668529
2026-04-16,24131.55,24377.51,24052.01,24304.26,189676631
2026-04-19,24304.26,24336.97,24168.27,24269.86,128669118
2026-04-20,24269.86,24549.19,24172.9,24509.3,147164229
2026-04-21,24509.3,24547.88,24231.84,24351.0,114705420
2026-04-22,24351.0,24467.59,24268.95,24318.86,71391640
2026-04-23,24318.86,24380.34,24121.26,24232.47,179964239
2026-04-26,24232.47,24348.06,24181.72,24293.66,83629931
2026-04-27,24293.66,24571.62,24183.21,24541.87,87081714
2026-04-28,24541.87,24701.7,24499.96,24604.04,81665726
2026-04-29,24604.04,24655.83,24235.96,24356.92,182660865
2026-04-30,24356.92,24528.55,24247.33,24434.45,171888259
2026-05-03,24434.45,24449.21,24118.15,24150.33,198868607
2026-05-04,24150.33,24329.59,24138.13,24272.85,59147117
2026-05-05,24272.85,24470.24,24252.59,24467.34,69599736
2026-05-06,24467.34,24573.39,24139.09,24251.47,163376047
2026-05-07,24251.47,24300.25,24099.18,24166.71,128756787
2026-05-10,24166.71,24275.15,23837.2,23945.75,78929768
2026-05-11,23945.75,24235.15,23857.3,24229.73,145283213
2026-05-12,24229.73,24601.69,24153.31,24491.36,166954683
2026-05-13,24491.36,24549.78,24351.03,24367.51,99244693
2026-05-14,24367.51,24570.17,24267.59,24498.34,186734039
2026-05-17,24498.34,24608.04,24180.91,24253.62,149287270
2026-05-18,24253.62,24409.85,24214.76,24354.85,97438520
2026-05-19,24354.85,24431.53,24239.8,24359.92,76011021
2026-05-20,24359.92,24420.0,24197.51,24203.39,188963032
2026-05-21,24203.39,24504.35,24101.24,24434.18,164538599
2026-05-24,24434.18,24481.1,24215.73,24308.25,88439034
2026-05-25,24308.25,24423.11,23933.77,24041.02,106554166
2026-05-26,24041.02,24074.47,23895.21,24000.94,134387354
2026-05-27,24000.94,24035.12,23755.99,23770.22,123510646
2026-05-28,23770.22,23796.8,23742.48,23762.6,119639945
2026-05-31,23762.6,24130.89,23652.76,24041.37,124793824
2026-06-01,24041.37,24066.23,23733.4,23834.23,95325977
2026-06-02,23834.23,23941.79,23449.47,23563.86,194909444
2026-06-03,23563.86,23608.29,23506.32,23585.3,56919542
2026-06-04,23585.3,23618.54,23399.67,23511.45,164488408
2026-06-07,23511.45,23703.64,23413.76,23642.41,129172776
2026-06-08,23642.41,23964.26,23533.75,23879.59,82196307
2026-06-09,23879.59,23931.2,23816.32,23847.73,86726810
2026-06-10,23847.73,24217.18,23833.84,24129.94,144951301
2026-06-11,24129.94,24395.58,24103.1,24305.78,69958264
2026-06-14,24305.78,24367.4,24171.37,24204.93,187665543
2026-06-15,24204.93,24313.87,24121.67,24304.9,60296337
2026-06-16,24304.9,24418.21,24169.53,24266.04,135235559
2026-06-17,24266.04,24333.76,23984.1,24085.73,59566015
2026-06-18,24085.73,24420.92,24056.11,24345.38,150987848
