Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2026-01-01,35.0,35.41,34.82,35.03,0,0.0,0.0
2026-01-04,35.03,35.15,34.5,34.74,0,0.0,0.0
2026-01-05,34.74,35.61,34.64,35.41,0,0.0,0.0
2026-01-06,35.41,35.76,34.6,34.94,0,0.0,0.0
2026-01-07,34.94,35.18,34.22,34.34,0,0.0,0.0
2026-01-08,34.34,34.39,33.7,34.0,0,0.0,0.0
2026-01-11,34.0,34.29,33.13,33.31,0,0.0,0.0
2026-01-12,33.31,33.34,33.06,33.12,0,0.0,0.0
2026-01-13,33.12,33.63,32.76,33.29,0,0.0,0.0
2026-01-14,33.29,33.53,32.39,32.65,0,0.0,0.0
2026-01-15,32.65,32.73,31.76,32.11,0,0.0,0.0
2026-01-18,32.11,32.75,31.96,32.47,0,0.0,0.0
2026-01-19,32.47,32.87,32.42,32.74,0,0.0,0.0
2026-01-20,32.74,32.9,32.61,32.72,0,0.0,0.0
2026-01-21,32.72,32.79,32.14,32.27,0,0.0,0.0
2026-01-22,32.27,32.57,31.63,31.95,0,0.0,0.0
2026-01-25,31.95,32.0,31.24,31.34,0,0.0,0.0
2026-01-26,31.34,31.34,30.94,31.16,0,0.0,0.0
2026-01-27,31.16,31.17,30.44,30.73,0,0.0,0.0
2026-01-28,30.73,30.97,30.16,30.38,0,0.0,0.0
2026-01-29,30.38,30.56,30.06,30.23,0,0.0,0.0
2026-02-01,30.23,30.49,30.02,30.38,0,0.0,0.0
2026-02-02,30.38,30.43,30.1,30.41,0,0.0,0.0
2026-02-03,30.41,30.98,30.25,30.91,0,0.0,0.0
2026-02-04,30.91,31.29,30.69,31.01,0,0.0,0.0
2026-02-05,31.01,31.37,30.89,31.28,0,0.0,0.0
2026-02-08,31.28,31.6,30.62,30.69,0,0.0,0.0
2026-02-09,30.69,31.25,30.42,31.22,0,0.0,0.0
2026-02-10,31.22,31.62,31.08,31.3,0,0.0,0.0
2026-02-11,31.3,31.87,31.21,31.59,0,0.0,0.0
2026-02-12,31.59,31.7,30.66,30.99,0,0.0,0.0
2026-02-15,30.99,31.24,30.26,30.44,0,0.0,0.0
2026-02-16,30.44,30.56,30.23,30.48,0,0.0,0.0
2026-02-17,30.48,30.95,30.44,30.81,0,0.0,0.0
2026-02-18,30.81,30.97,30.39,30.62,0,0.0,0.0
2026-02-19,30.62,30.68,30.03,30.17,0,0.0,0.0
2026-02-22,30.17,30.5,29.57,29.72,0,0.0,0.0
2026-02-23,29.72,30.04,29.37,29.48,0,0.0,0.0
2026-02-24,29.48,29.96,29.24,29.82,0,0.0,0.0
2026-02-25,29.82,29.97,29.57,29.9,0,0.0,0.0
2026-02-26,29.9,30.22,29.43,29.58,0,0.0,0.0
2026-03-01,29.58,30.19,29.39,29.87,0,0.0,0.0
2026-03-02,29.87,30.62,29.77,30.52,0,0.0,0.0
2026-03-03,30.52,31.01,30.24,31.0,0,0.0,0.0
2026-03-04,31.0,31.19,30.5,30.69,0,0.0,0.0
2026-03-05,30.69,30.7,30.1,30.22,0,0.0,0.0
2026-03-08,30.22,30.41,29.96,30.04,0,0.0,0.0
2026-03-09,30.04,30.17,29.2,29.5,0,0.0,0.0
2026-03-10,29.5,30.05,29.44,29.79,0,0.0,0.0
2026-03-11,29.79,30.23,29.49,30.04,0,0.0,0.0
2026-03-12,30.04,30.28,29.59,29.78,0,0.0,0.0
2026-03-15,29.78,30.03,29.09,29.2,0,0.0,0.0
2026-03-16,29.2,29.48,28.81,29.09,0,0.0,0.0
2026-03-17,29.09,29.48,29.09,29.29,0,0.0,0.0
2026-03-18,29.29,29.39,29.13,29.14,0,0.0,0.0
2026-03-19,29.14,29.3,28.62,28.69,0,0.0,0.0
2026-03-22,28.69,29.1,28.55,28.98,0,0.0,0.0
2026-03-23,28.98,29.06,28.89,28.99,0,0.0,0.0
2026-03-24,28.99,29.02,28.34,28.52,0,0.0,0.0
2026-03-25,28.52,28.55,28.23,28.39,0,0.0,0.0
2026-03-26,28.39,28.43,27.76,27.93,0,0.0,0.0
2026-03-29,27.93,28.18,27.74,28.12,0,0.0,0.0
2026-03-30,28.12,28.14,27.57,27.81,0,0.0,0.0
2026-03-31,27.81,28.36,27.6,28.33,0,0.0,0.0
2026-04-01,28.33,28.43,27.95,28.14,0,0.0,0.0
2026-04-02,28.14,28.45,27.71,27.9,0,0.0,0.0
2026-04-05,27.9,27.94,27.82,27.83,0,0.0,0.0
2026-04-06,27.83,27.94,27.23,27.46,0,0.0,0.0
2026-04-07,27.46,27.48,26.7,26.99,0,0.0,0.0
2026-04-08,26.99,27.67,26.99,27.43,0,0.0,0.0
2026-04-09,27.43,27.57,26.95,26.96,0,0.0,0.0
2026-04-12,26.96,27.07,26.8,27.01,0,0.0,0.0
2026-04-13,27.01,27.23,26.95,26.99,0,0.0,0.0
2026-04-14,26.99,27.16,26.22,26.42,0,0.0,0.0
2026-04-15,26.42,26.5,25.81,26.04,0,0.0,0.0
2026-04-16,26.04,26.23,25.53,25.53,0,0.0,0.0
2026-04-19,25.53,25.77,25.08,25.27,0,0.0,0.0
2026-04-20,25.27,25.51,24.56,24.74,0,0.0,0.0
2026-04-21,24.74,25.01,24.58,24.61,0,0.0,0.0
2026-04-22,24.61,25.15,24.56,25.01,0,0.0,0.0
2026-04-23,25.01,25.26,24.95,24.96,0,0.0,0.0
2026-04-26,24.96,25.08,24.85,24.99,0,0.0,0.0
2026-04-27,24.99,25.09,24.65,24.82,0,0.0,0.0
2026-04-28,24.82,25.48,24.6,25.34,0,0.0,0.0
2026-04-29,25.34,26.01,25.11,25.76,0,0.0,0.0
2026-04-30,25.76,25.9,25.72,25.82,0,0.0,0.0
2026-05-03,25.82,26.02,25.71,26.0,0,0.0,0.0
2026-05-04,26.0,26.31,25.93,26.13,0,0.0,0.0
2026-05-05,26.13,26.41,25.47,25.73,0,0.0,0.0
2026-05-06,25.73,25.84,25.69,25.78,0,0.0,0.0
2026-05-07,25.78,26.36,25.69,26.12,0,0.0,0.0
2026-05-10,26.12,26.19,25.83,26.15,0,0.0,0.0
2026-05-11,26.15,26.42,25.48,25.74,0,0.0,0.0
2026-05-12,25.74,26.07,25.71,25.8,0,0.0,0.0
2026-05-13,25.8,26.44,25.58,26.23,0,0.0,0.0
2026-05-14,26.23,26.35,26.0,26.13,0,0.0,0.0
2026-05-17,26.13,26.85,26.05,26.58,0,0.0,0.0
2026-05-18,26.58,26.63,25.9,26.12,0,0.0,0.0
2026-05-19,26.12,26.28,25.78,25.85,0,0.0,0.0
2026-05-20,25.85,26.16,25.65,26.06,0,0.0,0.0
2026-05-21,26.06,26.23,25.86,26.06,0,0.0,0.0
2026-05-24,26.06,26.6,26.02,26.46,0,0.0,0.0
2026-05-25,26.46,26.68,25.92,25.92,0,0.0,0.0
2026-05-26,25.92,26.13,25.54,25.82,0,0.0,0.0
2026-05-27,25.82,26.08,25.05,25.33,0,0.0,0.0
2026-05-28,25.33,25.42,25.19,25.32,0,0.0,0.0
2026-05-31,25.32,25.33,25.01,25.21,0,0.0,0.0
2026-06-01,25.21,25.38,24.79,25.0,0,0.0,0.0
2026-06-02,25.0,25.27,24.78,25.03,0,0.0,0.0
2026-06-03,25.03,25.26,24.97,24.98,0,0.0,0.0
2026-06-04,24.98,25.11,24.78,25.0,0,0.0,0.0
2026-06-07,25.0,25.19,24.99,25.02,0,0.0,0.0
2026-06-08,25.02,25.1,24.68,24.91,0,0.0,0.0
2026-06-09,24.91,25.08,24.82,24.83,0,0.0,0.0
2026-06-10,24.83,25.06,24.32,24.44,0,0.0,0.0
2026-06-11,24.44,24.65,23.77,24.02,0,0.0,0.0
2026-06-14,24.02,24.13,23.51,23.63,0,0.0,0.0
2026-06-15,23.63,23.91,23.58,23.72,0,0.0,0.0
2026-06-16,23.72,23.9,23.22,23.46,0,0.0,0.0
2026-06-17,23.46,23.72,23.43,23.69,0,0.0,0.0
2026-06-18,23.69,23.83,23.45,23.55,0,0.0,0.0
2026-06-21,23.55,23.81,23.45,23.56,0,0.0,0.0
2026-06-22,23.56,24.08,23.41,23.84,0,0.0,0.0
