Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2026-01-01,28.0,28.26,27.61,27.86,0,0.0,0.0
2026-01-04,27.86,28.25,27.65,28.22,0,0.0,0.0
2026-01-05,28.22,28.82,28.09,28.77,0,0.0,0.0
2026-01-06,28.77,29.36,28.71,29.15,0,0.0,0.0
2026-01-07,29.15,29.16,28.75,28.97,0,0.0,0.0
2026-01-08,28.97,29.61,28.68,29.57,0,0.0,0.0
2026-01-11,29.57,29.58,29.36,29.45,0,0.0,0.0
2026-01-12,29.45,29.94,29.2,29.72,0,0.0,0.0
2026-01-13,29.72,30.13,29.5,29.81,0,0.0,0.0
2026-01-14,29.81,30.07,29.78,29.84,0,0.0,0.0
2026-01-15,29.84,29.95,29.29,29.51,0,0.0,0.0
2026-01-18,29.51,30.13,29.19,29.95,0,0.0,0.0
2026-01-19,29.95,30.19,29.67,30.14,0,0.0,0.0
2026-01-20,30.14,30.65,29.98,30.63,0,0.0,0.0
2026-01-21,30.63,31.28,30.55,31.26,0,0.0,0.0
2026-01-22,31.26,31.34,30.97,31.13,0,0.0,0.0
2026-01-25,31.13,31.42,30.91,31.06,0,0.0,0.0
2026-01-26,31.06,31.28,31.02,31.06,0,0.0,0.0
2026-01-27,31.06,31.14,31.03,31.14,0,0.0,0.0
2026-01-28,31.14,31.4,30.97,31.3,0,0.0,0.0
2026-01-29,31.3,31.87,31.17,31.54,0,0.0,0.0
2026-02-01,31.54,31.7,30.97,31.16,0,0.0,0.0
2026-02-02,31.16,31.39,30.87,31.12,0,0.0,0.0
2026-02-03,31.12,31.56,31.0,31.48,0,0.0,0.0
2026-02-04,31.48,32.22,31.3,32.12,0,0.0,0.0
2026-02-05,32.12,32.18,31.43,31.48,0,0.0,0.0
2026-02-08,31.48,31.83,31.27,31.79,0,0.0,0.0
2026-02-09,31.79,32.53,31.63,32.39,0,0.0,0.0
2026-02-10,32.39,32.74,32.24,32.7,0,0.0,0.0
2026-02-11,32.7,33.4,32.42,33.19,0,0.0,0.0
2026-02-12,33.19,33.77,33.14,33.42,0,0.0,0.0
2026-02-15,33.42,33.48,33.08,33.46,0,0.0,0.0
2026-02-16,33.46,33.65,33.09,33.43,0,0.0,0.0
2026-02-17,33.43,33.82,33.38,33.55,0,0.0,0.0
2026-02-18,33.55,34.03,33.36,33.7,0,0.0,0.0
2026-02-19,33.7,34.75,33.42,34.41,0,0.0,0.0
2026-02-22,34.41,35.48,34.24,35.11,0,0.0,0.0
2026-02-23,35.11,35.38,34.69,34.98,0,0.0,0.0
2026-02-24,34.98,35.62,34.71,35.29,0,0.0,0.0
2026-02-25,35.29,35.58,35.05,35.5,0,0.0,0.0
2026-02-26,35.5,35.76,34.88,35.26,0,0.0,0.0
2026-03-01,35.26,36.17,34.99,35.97,0,0.0,0.0
2026-03-02,35.97,36.11,35.17,35.36,0,0.0,0.0
2026-03-03,35.36,35.78,35.07,35.62,0,0.0,0.0
2026-03-04,35.62,35.95,34.96,35.28,0,0.0,0.0
2026-03-05,35.28,35.34,34.28,34.54,0,0.0,0.0
2026-03-08,34.54,34.98,34.43,34.92,0,0.0,0.0
2026-03-09,34.92,35.71,34.81,35.44,0,0.0,0.0
2026-03-10,35.44,35.76,34.67,34.71,0,0.0,0.0
2026-03-11,34.71,35.41,34.43,35.08,0,0.0,0.0
2026-03-12,35.08,35.38,34.36,34.67,0,0.0,0.0
