Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2026-01-01,130.0,130.76,129.64,130.73,0,0.0,0.0
2026-01-04,130.73,132.85,129.56,131.97,0,0.0,0.0
2026-01-05,131.97,132.01,131.27,131.56,0,0.0,0.0
2026-01-06,131.56,131.82,128.22,129.07,0,0.0,0.0
2026-01-07,129.07,129.83,126.59,127.63,0,0.0,0.0
2026-01-08,127.63,130.08,127.2,129.19,0,0.0,0.0
2026-01-11,129.19,131.98,129.07,131.55,0,0.0,0.0
2026-01-12,131.55,134.17,130.49,133.38,0,0.0,0.0
2026-01-13,133.38,134.87,132.88,133.57,0,0.0,0.0
2026-01-14,133.57,136.16,132.42,135.33,0,0.0,0.0
2026-01-15,135.33,136.5,135.02,136.44,0,0.0,0.0
2026-01-18,136.44,136.76,134.01,134.15,0,0.0,0.0
2026-01-19,134.15,135.37,133.65,134.88,0,0.0,0.0
2026-01-20,134.88,136.14,132.75,133.62,0,0.0,0.0
2026-01-21,133.62,134.59,131.64,131.86,0,0.0,0.0
2026-01-22,131.86,135.28,131.13,134.44,0,0.0,0.0
2026-01-25,134.44,137.32,134.13,136.28,0,0.0,0.0
2026-01-26,136.28,136.64,134.98,135.27,0,0.0,0.0
2026-01-27,135.27,137.74,134.38,137.31,0,0.0,0.0
2026-01-28,137.31,140.22,136.95,139.59,0,0.0,0.0
2026-01-29,139.59,140.3,138.77,139.93,0,0.0,0.0
2026-02-01,139.93,140.24,137.97,139.37,0,0.0,0.0
2026-02-02,139.37,139.44,136.94,137.09,0,0.0,0.0
2026-02-03,137.09,139.27,137.0,138.69,0,0.0,0.0
2026-02-04,138.69,142.17,137.34,141.44,0,0.0,0.0
2026-02-05,141.44,142.46,137.72,138.68,0,0.0,0.0
2026-02-08,138.68,139.57,137.24,137.39,0,0.0,0.0
2026-02-09,137.39,138.7,135.94,137.14,0,0.0,0.0
2026-02-10,137.14,137.39,135.89,137.14,0,0.0,0.0
2026-02-11,137.14,138.02,135.19,136.03,0,0.0,0.0
2026-02-12,136.03,138.19,134.97,137.46,0,0.0,0.0
2026-02-15,137.46,137.91,134.68,134.71,0,0.0,0.0
2026-02-16,134.71,137.87,134.3,136.75,0,0.0,0.0
2026-02-17,136.75,140.11,136.63,138.82,0,0.0,0.0
2026-02-18,138.82,139.88,135.37,136.43,0,0.0,0.0
2026-02-19,136.43,137.18,135.94,136.3,0,0.0,0.0
2026-02-22,136.3,136.59,135.14,135.88,0,0.0,0.0
2026-02-23,135.88,136.3,132.91,134.26,0,0.0,0.0
2026-02-24,134.26,134.95,133.77,133.93,0,0.0,0.0
2026-02-25,133.93,134.72,132.75,133.06,0,0.0,0.0
2026-02-26,133.06,133.9,130.48,130.78,0,0.0,0.0
2026-03-01,130.78,132.75,130.47,132.66,0,0.0,0.0
2026-03-02,132.66,132.84,129.9,131.14,0,0.0,0.0
2026-03-03,131.14,132.17,129.94,131.0,0,0.0,0.0
2026-03-04,131.0,131.56,128.34,128.89,0,0.0,0.0
2026-03-05,128.89,130.94,127.62,130.07,0,0.0,0.0
2026-03-08,130.07,130.51,128.44,129.56,0,0.0,0.0
2026-03-09,129.56,130.14,127.4,127.95,0,0.0,0.0
2026-03-10,127.95,129.13,126.1,126.67,0,0.0,0.0
2026-03-11,126.67,126.98,125.4,126.92,0,0.0,0.0
2026-03-12,126.92,130.48,125.84,129.3,0,0.0,0.0
2026-03-15,129.3,129.58,128.71,129.23,0,0.0,0.0
2026-03-16,129.23,130.5,128.26,128.6,0,0.0,0.0
2026-03-17,128.6,129.14,127.14,128.37,0,0.0,0.0
2026-03-18,128.37,129.58,128.17,128.66,0,0.0,0.0
2026-03-19,128.66,131.82,127.96,131.07,0,0.0,0.0
2026-03-22,131.07,131.84,128.09,128.75,0,0.0,0.0
2026-03-23,128.75,129.99,126.89,126.99,0,0.0,0.0
2026-03-24,126.99,128.33,126.69,127.47,0,0.0,0.0
2026-03-25,127.47,129.77,126.71,129.46,0,0.0,0.0
2026-03-26,129.46,130.22,128.36,129.04,0,0.0,0.0
2026-03-29,129.04,129.96,127.2,127.51,0,0.0,0.0
2026-03-30,127.51,128.77,127.11,128.39,0,0.0,0.0
2026-03-31,128.39,128.98,124.91,126.19,0,0.0,0.0
2026-04-01,126.19,126.46,123.71,124.04,0,0.0,0.0
2026-04-02,124.04,127.02,123.58,125.93,0,0.0,0.0
2026-04-05,125.93,128.5,125.16,127.61,0,0.0,0.0
2026-04-06,127.61,128.41,126.57,128.4,0,0.0,0.0
2026-04-07,128.4,130.45,128.23,129.24,0,0.0,0.0
2026-04-08,129.24,129.95,126.86,127.21,0,0.0,0.0
2026-04-09,127.21,128.58,126.4,128.32,0,0.0,0.0
2026-04-12,128.32,129.48,127.17,128.26,0,0.0,0.0
2026-04-13,128.26,128.61,127.87,127.87,0,0.0,0.0
2026-04-14,127.87,128.9,126.92,128.57,0,0.0,0.0
2026-04-15,128.57,128.58,128.1,128.2,0,0.0,0.0
2026-04-16,128.2,130.97,127.13,130.27,0,0.0,0.0
2026-04-19,130.27,130.44,128.04,128.44,0,0.0,0.0
2026-04-20,128.44,131.07,127.29,129.96,0,0.0,0.0
2026-04-21,129.96,130.09,127.65,128.66,0,0.0,0.0
2026-04-22,128.66,129.46,127.98,128.18,0,0.0,0.0
2026-04-23,128.18,131.3,127.14,130.05,0,0.0,0.0
2026-04-26,130.05,131.01,127.15,127.58,0,0.0,0.0
2026-04-27,127.58,130.22,126.55,129.12,0,0.0,0.0
2026-04-28,129.12,130.74,127.99,130.6,0,0.0,0.0
2026-04-29,130.6,131.67,128.55,129.15,0,0.0,0.0
2026-04-30,129.15,130.97,129.12,130.68,0,0.0,0.0
2026-05-03,130.68,131.81,128.52,129.78,0,0.0,0.0
2026-05-04,129.78,131.03,128.51,130.51,0,0.0,0.0
2026-05-05,130.51,132.95,129.24,132.8,0,0.0,0.0
2026-05-06,132.8,135.61,132.66,135.26,0,0.0,0.0
2026-05-07,135.26,136.92,134.44,136.5,0,0.0,0.0
2026-05-10,136.5,137.29,135.52,135.87,0,0.0,0.0
2026-05-11,135.87,137.13,132.43,133.16,0,0.0,0.0
2026-05-12,133.16,135.34,132.68,134.45,0,0.0,0.0
2026-05-13,134.45,135.77,134.03,135.33,0,0.0,0.0
2026-05-14,135.33,136.93,134.91,136.52,0,0.0,0.0
2026-05-17,136.52,136.92,135.82,135.99,0,0.0,0.0
2026-05-18,135.99,139.31,134.76,138.39,0,0.0,0.0
2026-05-19,138.39,139.15,137.29,137.29,0,0.0,0.0
2026-05-20,137.29,138.09,136.0,136.9,0,0.0,0.0
2026-05-21,136.9,137.19,135.93,136.58,0,0.0,0.0
2026-05-24,136.58,138.43,136.46,138.2,0,0.0,0.0
2026-05-25,138.2,139.39,137.07,138.93,0,0.0,0.0
2026-05-26,138.93,140.2,138.65,139.89,0,0.0,0.0
2026-05-27,139.89,140.55,137.27,138.46,0,0.0,0.0
2026-05-28,138.46,139.33,137.72,137.99,0,0.0,0.0
2026-05-31,137.99,138.33,137.05,137.96,0,0.0,0.0
2026-06-01,137.96,140.4,137.81,139.34,0,0.0,0.0
2026-06-02,139.34,140.67,136.81,137.53,0,0.0,0.0
2026-06-03,137.53,138.7,135.52,136.15,0,0.0,0.0
2026-06-04,136.15,138.41,135.34,137.06,0,0.0,0.0
2026-06-07,137.06,140.05,136.07,139.21,0,0.0,0.0
2026-06-08,139.21,141.81,137.96,141.05,0,0.0,0.0
2026-06-09,141.05,141.42,140.56,140.91,0,0.0,0.0
2026-06-10,140.91,143.14,140.03,142.41,0,0.0,0.0
2026-06-11,142.41,142.82,139.61,140.0,0,0.0,0.0
2026-06-14,140.0,140.41,139.68,140.22,0,0.0,0.0
2026-06-15,140.22,141.47,139.65,141.38,0,0.0,0.0
2026-06-16,141.38,141.67,140.31,140.9,0,0.0,0.0
2026-06-17,140.9,142.35,139.69,141.37,0,0.0,0.0
2026-06-18,141.37,141.38,140.19,140.69,0,0.0,0.0
2026-06-21,140.69,144.02,140.1,142.68,0,0.0,0.0
2026-06-22,142.68,143.8,142.37,142.94,0,0.0,0.0
