Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2026-01-01,22.5,22.82,22.29,22.65,0,0.0,0.0
2026-01-04,22.65,22.9,22.56,22.87,0,0.0,0.0
2026-01-05,22.87,22.96,22.64,22.86,0,0.0,0.0
2026-01-06,22.86,22.96,22.52,22.74,0,0.0,0.0
2026-01-07,22.74,22.9,22.26,22.38,0,0.0,0.0
2026-01-08,22.38,22.47,22.21,22.25,0,0.0,0.0
2026-01-11,22.25,22.66,22.1,22.56,0,0.0,0.0
2026-01-12,22.56,22.65,22.38,22.65,0,0.0,0.0
2026-01-13,22.65,22.78,22.29,22.31,0,0.0,0.0
2026-01-14,22.31,22.36,21.86,22.05,0,0.0,0.0
2026-01-15,22.05,22.25,21.74,21.74,0,0.0,0.0
2026-01-18,21.74,21.77,21.38,21.43,0,0.0,0.0
2026-01-19,21.43,21.58,21.43,21.57,0,0.0,0.0
2026-01-20,21.57,21.64,21.3,21.34,0,0.0,0.0
2026-01-21,21.34,21.66,21.18,21.55,0,0.0,0.0
2026-01-22,21.55,21.9,21.53,21.79,0,0.0,0.0
2026-01-25,21.79,22.19,21.62,22.18,0,0.0,0.0
2026-01-26,22.18,22.3,21.97,22.2,0,0.0,0.0
2026-01-27,22.2,22.29,22.03,22.18,0,0.0,0.0
2026-01-28,22.18,22.56,22.16,22.54,0,0.0,0.0
2026-01-29,22.54,22.6,22.01,22.15,0,0.0,0.0
2026-02-01,22.15,22.37,21.88,22.0,0,0.0,0.0
2026-02-02,22.0,22.11,21.85,22.09,0,0.0,0.0
2026-02-03,22.09,22.39,21.93,22.22,0,0.0,0.0
2026-02-04,22.22,22.27,22.1,22.18,0,0.0,0.0
2026-02-05,22.18,22.2,22.02,22.11,0,0.0,0.0
2026-02-08,22.11,22.14,21.8,22.0,0,0.0,0.0
2026-02-09,22.0,22.31,21.98,22.29,0,0.0,0.0
2026-02-10,22.29,22.69,22.16,22.57,0,0.0,0.0
2026-02-11,22.57,22.6,22.34,22.42,0,0.0,0.0
2026-02-12,22.42,22.83,22.26,22.64,0,0.0,0.0
2026-02-15,22.64,22.81,22.51,22.73,0,0.0,0.0
2026-02-16,22.73,22.92,22.71,22.87,0,0.0,0.0
2026-02-17,22.87,23.04,22.62,22.75,0,0.0,0.0
2026-02-18,22.75,23.28,22.56,23.06,0,0.0,0.0
2026-02-19,23.06,23.2,22.85,23.19,0,0.0,0.0
2026-02-22,23.19,23.23,22.81,22.97,0,0.0,0.0
2026-02-23,22.97,22.97,22.62,22.82,0,0.0,0.0
2026-02-24,22.82,22.85,22.59,22.73,0,0.0,0.0
2026-02-25,22.73,23.0,22.63,22.95,0,0.0,0.0
2026-02-26,22.95,23.12,22.65,22.83,0,0.0,0.0
2026-03-01,22.83,22.84,22.41,22.45,0,0.0,0.0
2026-03-02,22.45,22.67,22.3,22.61,0,0.0,0.0
2026-03-03,22.61,22.67,22.39,22.56,0,0.0,0.0
2026-03-04,22.56,22.62,22.35,22.5,0,0.0,0.0
2026-03-05,22.5,22.66,22.41,22.65,0,0.0,0.0
2026-03-08,22.65,22.72,22.15,22.2,0,0.0,0.0
2026-03-09,22.2,22.27,21.98,21.98,0,0.0,0.0
2026-03-10,21.98,22.06,21.54,21.69,0,0.0,0.0
2026-03-11,21.69,22.15,21.67,21.98,0,0.0,0.0
2026-03-12,21.98,21.98,21.38,21.58,0,0.0,0.0
2026-03-15,21.58,21.77,21.43,21.65,0,0.0,0.0
2026-03-16,21.65,21.65,21.25,21.32,0,0.0,0.0
2026-03-17,21.32,21.6,21.12,21.42,0,0.0,0.0
2026-03-18,21.42,21.77,21.29,21.72,0,0.0,0.0
2026-03-19,21.72,21.79,21.56,21.63,0,0.0,0.0
2026-03-22,21.63,21.74,21.32,21.34,0,0.0,0.0
2026-03-23,21.34,21.76,21.18,21.69,0,0.0,0.0
2026-03-24,21.69,22.01,21.66,21.96,0,0.0,0.0
2026-03-25,21.96,22.22,21.82,22.05,0,0.0,0.0
2026-03-26,22.05,22.4,21.88,22.29,0,0.0,0.0
2026-03-29,22.29,22.5,22.11,22.24,0,0.0,0.0
2026-03-30,22.24,22.54,22.1,22.35,0,0.0,0.0
2026-03-31,22.35,22.45,21.89,21.96,0,0.0,0.0
2026-04-01,21.96,22.07,21.5,21.57,0,0.0,0.0
2026-04-02,21.57,21.75,21.17,21.19,0,0.0,0.0
2026-04-05,21.19,21.62,21.08,21.49,0,0.0,0.0
2026-04-06,21.49,21.71,21.3,21.54,0,0.0,0.0
2026-04-07,21.54,21.95,21.47,21.81,0,0.0,0.0
2026-04-08,21.81,21.82,21.49,21.51,0,0.0,0.0
2026-04-09,21.51,21.66,21.27,21.38,0,0.0,0.0
2026-04-12,21.38,21.47,21.07,21.16,0,0.0,0.0
2026-04-13,21.16,21.24,20.81,20.87,0,0.0,0.0
2026-04-14,20.87,20.99,20.58,20.74,0,0.0,0.0
2026-04-15,20.74,20.76,20.24,20.38,0,0.0,0.0
2026-04-16,20.38,20.69,20.2,20.56,0,0.0,0.0
2026-04-19,20.56,20.68,20.39,20.42,0,0.0,0.0
2026-04-20,20.42,20.94,20.34,20.8,0,0.0,0.0
2026-04-21,20.8,21.22,20.72,21.16,0,0.0,0.0
2026-04-22,21.16,21.57,20.98,21.43,0,0.0,0.0
2026-04-23,21.43,21.7,21.29,21.59,0,0.0,0.0
2026-04-26,21.59,21.67,21.43,21.47,0,0.0,0.0
2026-04-27,21.47,21.95,21.42,21.85,0,0.0,0.0
2026-04-28,21.85,22.03,21.46,21.48,0,0.0,0.0
2026-04-29,21.48,21.96,21.47,21.77,0,0.0,0.0
2026-04-30,21.77,22.03,21.69,22.0,0,0.0,0.0
2026-05-03,22.0,22.46,21.82,22.29,0,0.0,0.0
2026-05-04,22.29,22.38,22.08,22.23,0,0.0,0.0
2026-05-05,22.23,22.29,22.01,22.18,0,0.0,0.0
2026-05-06,22.18,22.28,22.0,22.21,0,0.0,0.0
2026-05-07,22.21,22.59,22.0,22.51,0,0.0,0.0
2026-05-10,22.51,22.57,22.39,22.48,0,0.0,0.0
2026-05-11,22.48,23.08,22.3,22.9,0,0.0,0.0
2026-05-12,22.9,23.05,22.47,22.67,0,0.0,0.0
2026-05-13,22.67,22.86,22.12,22.31,0,0.0,0.0
2026-05-14,22.31,22.6,22.11,22.54,0,0.0,0.0
2026-05-17,22.54,22.75,22.43,22.48,0,0.0,0.0
2026-05-18,22.48,22.49,22.33,22.34,0,0.0,0.0
2026-05-19,22.34,22.56,22.02,22.1,0,0.0,0.0
2026-05-20,22.1,22.67,21.96,22.48,0,0.0,0.0
2026-05-21,22.48,22.54,21.96,22.15,0,0.0,0.0
2026-05-24,22.15,22.31,21.73,21.83,0,0.0,0.0
2026-05-25,21.83,21.89,21.28,21.46,0,0.0,0.0
2026-05-26,21.46,21.77,21.44,21.66,0,0.0,0.0
2026-05-27,21.66,21.67,21.4,21.49,0,0.0,0.0
2026-05-28,21.49,21.51,21.26,21.45,0,0.0,0.0
2026-05-31,21.45,21.56,20.99,21.04,0,0.0,0.0
2026-06-01,21.04,21.17,20.93,20.98,0,0.0,0.0
2026-06-02,20.98,21.14,20.78,21.12,0,0.0,0.0
2026-06-03,21.12,21.25,20.91,21.14,0,0.0,0.0
2026-06-04,21.14,21.24,20.92,21.05,0,0.0,0.0
2026-06-07,21.05,21.05,20.67,20.84,0,0.0,0.0
2026-06-08,20.84,21.16,20.68,21.03,0,0.0,0.0
2026-06-09,21.03,21.04,20.78,20.89,0,0.0,0.0
2026-06-10,20.89,21.05,20.52,20.62,0,0.0,0.0
2026-06-11,20.62,20.9,20.61,20.73,0,0.0,0.0
2026-06-14,20.73,20.79,20.68,20.69,0,0.0,0.0
2026-06-15,20.69,20.88,20.2,20.31,0,0.0,0.0
2026-06-16,20.31,20.39,20.16,20.34,0,0.0,0.0
2026-06-17,20.34,20.5,20.04,20.22,0,0.0,0.0
2026-06-18,20.22,20.29,19.74,19.92,0,0.0,0.0
2026-06-21,19.92,20.31,19.73,20.23,0,0.0,0.0
2026-06-22,20.23,20.42,20.12,20.23,0,0.0,0.0
