Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2026-01-01,38.0,38.13,37.52,37.62,0,0.0,0.0
2026-01-04,37.62,38.0,37.32,37.96,0,0.0,0.0
2026-01-05,37.96,38.7,37.95,38.36,0,0.0,0.0
2026-01-06,38.36,38.37,37.52,37.75,0,0.0,0.0
2026-01-07,37.75,38.03,36.92,37.07,0,0.0,0.0
2026-01-08,37.07,37.39,36.63,36.65,0,0.0,0.0
2026-01-11,36.65,36.95,36.07,36.34,0,0.0,0.0
2026-01-12,36.34,36.72,36.22,36.48,0,0.0,0.0
2026-01-13,36.48,36.72,35.88,35.96,0,0.0,0.0
2026-01-14,35.96,36.3,35.01,35.33,0,0.0,0.0
2026-01-15,35.33,35.66,35.15,35.51,0,0.0,0.0
2026-01-18,35.51,36.38,35.23,36.14,0,0.0,0.0
2026-01-19,36.14,36.19,35.88,36.02,0,0.0,0.0
2026-01-20,36.02,36.33,35.87,35.98,0,0.0,0.0
2026-01-21,35.98,36.75,35.78,36.42,0,0.0,0.0
2026-01-22,36.42,36.55,36.33,36.5,0,0.0,0.0
2026-01-25,36.5,37.05,36.19,36.71,0,0.0,0.0
2026-01-26,36.71,37.11,36.61,37.04,0,0.0,0.0
2026-01-27,37.04,37.51,36.97,37.19,0,0.0,0.0
2026-01-28,37.19,37.73,37.01,37.52,0,0.0,0.0
2026-01-29,37.52,37.88,37.26,37.27,0,0.0,0.0
2026-02-01,37.27,38.0,36.9,37.96,0,0.0,0.0
2026-02-02,37.96,38.19,37.49,37.57,0,0.0,0.0
2026-02-03,37.57,37.94,37.43,37.65,0,0.0,0.0
2026-02-04,37.65,37.75,37.25,37.44,0,0.0,0.0
2026-02-05,37.44,37.81,36.66,36.84,0,0.0,0.0
2026-02-08,36.84,37.59,36.69,37.45,0,0.0,0.0
2026-02-09,37.45,37.5,36.93,37.03,0,0.0,0.0
2026-02-10,37.03,37.3,36.97,37.15,0,0.0,0.0
2026-02-11,37.15,37.46,36.78,36.97,0,0.0,0.0
2026-02-12,36.97,37.34,36.67,37.24,0,0.0,0.0
2026-02-15,37.24,37.63,37.18,37.45,0,0.0,0.0
2026-02-16,37.45,37.72,36.77,36.95,0,0.0,0.0
2026-02-17,36.95,37.25,36.93,37.01,0,0.0,0.0
2026-02-18,37.01,37.87,36.76,37.52,0,0.0,0.0
2026-02-19,37.52,37.84,37.3,37.39,0,0.0,0.0
2026-02-22,37.39,37.58,36.52,36.66,0,0.0,0.0
2026-02-23,36.66,37.13,36.48,36.9,0,0.0,0.0
2026-02-24,36.9,37.1,36.17,36.17,0,0.0,0.0
2026-02-25,36.17,36.52,35.83,35.84,0,0.0,0.0
2026-02-26,35.84,36.38,35.51,36.09,0,0.0,0.0
2026-03-01,36.09,36.14,35.44,35.51,0,0.0,0.0
2026-03-02,35.51,36.05,35.37,35.96,0,0.0,0.0
