Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits
2026-01-01,45.0,45.49,44.7,45.45,0,0.0,0.0
2026-01-04,45.45,45.7,45.41,45.54,0,0.0,0.0
2026-01-05,45.54,45.84,44.94,45.15,0,0.0,0.0
2026-01-06,45.15,45.17,44.43,44.86,0,0.0,0.0
2026-01-07,44.86,45.98,44.38,45.84,0,0.0,0.0
2026-01-08,45.84,46.16,44.8,44.98,0,0.0,0.0
2026-01-11,44.98,45.81,44.91,45.34,0,0.0,0.0
2026-01-12,45.34,45.92,45.31,45.9,0,0.0,0.0
2026-01-13,45.9,46.09,45.34,45.63,0,0.0,0.0
2026-01-14,45.63,46.47,45.44,45.99,0,0.0,0.0
2026-01-15,45.99,46.41,45.79,46.14,0,0.0,0.0
2026-01-18,46.14,46.2,45.26,45.63,0,0.0,0.0
2026-01-19,45.63,45.91,45.27,45.4,0,0.0,0.0
2026-01-20,45.4,45.9,45.15,45.29,0,0.0,0.0
2026-01-21,45.29,45.35,44.85,45.27,0,0.0,0.0
2026-01-22,45.27,46.28,45.23,46.06,0,0.0,0.0
2026-01-25,46.06,46.92,45.88,46.76,0,0.0,0.0
2026-01-26,46.76,47.31,46.32,46.85,0,0.0,0.0
2026-01-27,46.85,48.06,46.44,47.73,0,0.0,0.0
2026-01-28,47.73,47.84,46.86,46.93,0,0.0,0.0
2026-01-29,46.93,47.22,45.76,45.95,0,0.0,0.0
2026-02-01,45.95,46.36,45.91,46.05,0,0.0,0.0
2026-02-02,46.05,47.42,45.78,47.06,0,0.0,0.0
2026-02-03,47.06,47.77,46.56,47.73,0,0.0,0.0
2026-02-04,47.73,48.09,47.44,47.62,0,0.0,0.0
2026-02-05,47.62,48.55,47.52,48.21,0,0.0,0.0
2026-02-08,48.21,48.69,48.04,48.07,0,0.0,0.0
2026-02-09,48.07,48.16,47.17,47.34,0,0.0,0.0
2026-02-10,47.34,47.83,46.55,47.02,0,0.0,0.0
2026-02-11,47.02,47.35,46.22,46.5,0,0.0,0.0
2026-02-12,46.5,46.77,45.84,46.1,0,0.0,0.0
2026-02-15,46.1,47.08,45.77,47.0,0,0.0,0.0
2026-02-16,47.0,47.66,46.71,47.22,0,0.0,0.0
2026-02-17,47.22,47.24,45.91,46.24,0,0.0,0.0
2026-02-18,46.24,46.94,46.03,46.55,0,0.0,0.0
2026-02-19,46.55,46.87,46.4,46.55,0,0.0,0.0
2026-02-22,46.55,46.96,46.17,46.52,0,0.0,0.0
2026-02-23,46.52,46.55,45.43,45.65,0,0.0,0.0
2026-02-24,45.65,45.95,44.9,45.06,0,0.0,0.0
2026-02-25,45.06,45.95,44.58,45.52,0,0.0,0.0
2026-02-26,45.52,45.8,45.1,45.26,0,0.0,0.0
2026-03-01,45.26,45.38,44.75,44.8,0,0.0,0.0
2026-03-02,44.8,45.1,44.45,44.57,0,0.0,0.0
2026-03-03,44.57,44.73,43.62,43.9,0,0.0,0.0
2026-03-04,43.9,44.65,43.65,44.41,0,0.0,0.0
2026-03-05,44.41,44.42,43.58,44.04,0,0.0,0.0
2026-03-08,44.04,45.04,43.87,44.94,0,0.0,0.0
2026-03-09,44.94,45.38,44.61,44.93,0,0.0,0.0
2026-03-10,44.93,45.42,44.72,45.0,0,0.0,0.0
2026-03-11,45.0,45.83,44.82,45.45,0,0.0,0.0
2026-03-12,45.45,45.69,45.17,45.59,0,0.0,0.0
2026-03-15,45.59,45.98,45.45,45.6,0,0.0,0.0
2026-03-16,45.6,46.02,45.11,45.96,0,0.0,0.0
2026-03-17,45.96,46.73,45.49,46.56,0,0.0,0.0
2026-03-18,46.56,46.82,45.68,45.94,0,0.0,0.0
2026-03-19,45.94,46.11,44.97,45.21,0,0.0,0.0
2026-03-22,45.21,45.68,45.05,45.42,0,0.0,0.0
2026-03-23,45.42,45.91,44.38,44.75,0,0.0,0.0
2026-03-24,44.75,45.16,44.17,44.43,0,0.0,0.0
2026-03-25,44.43,44.83,43.86,44.04,0,0.0,0.0
2026-03-26,44.04,45.25,43.65,44.97,0,0.0,0.0
2026-03-29,44.97,45.35,44.74,45.34,0,0.0,0.0
2026-03-30,45.34,46.29,45.05,45.9,0,0.0,0.0
2026-03-31,45.9,46.16,45.58,46.07,0,0.0,0.0
2026-04-01,46.07,46.83,45.73,46.76,0,0.0,0.0
2026-04-02,46.76,47.74,46.75,47.68,0,0.0,0.0
2026-04-05,47.68,48.04,46.73,46.95,0,0.0,0.0
2026-04-06,46.95,48.27,46.57,47.82,0,0.0,0.0
2026-04-07,47.82,47.93,46.89,47.06,0,0.0,0.0
2026-04-08,47.06,47.27,46.97,47.11,0,0.0,0.0
2026-04-09,47.11,47.29,46.38,46.78,0,0.0,0.0
2026-04-12,46.78,47.43,46.47,47.07,0,0.0,0.0
2026-04-13,47.07,47.36,46.43,46.55,0,0.0,0.0
2026-04-14,46.55,46.7,46.03,46.14,0,0.0,0.0
2026-04-15,46.14,46.32,45.3,45.77,0,0.0,0.0
2026-04-16,45.77,45.83,44.97,45.31,0,0.0,0.0
2026-04-19,45.31,46.68,44.83,46.27,0,0.0,0.0
2026-04-20,46.27,46.42,45.48,45.84,0,0.0,0.0
2026-04-21,45.84,45.97,45.48,45.72,0,0.0,0.0
2026-04-22,45.72,46.27,45.37,45.8,0,0.0,0.0
2026-04-23,45.8,46.33,45.68,46.03,0,0.0,0.0
2026-04-26,46.03,46.41,46.0,46.09,0,0.0,0.0
2026-04-27,46.09,46.58,45.7,46.53,0,0.0,0.0
2026-04-28,46.53,47.11,46.32,46.63,0,0.0,0.0
2026-04-29,46.63,47.65,46.53,47.41,0,0.0,0.0
2026-04-30,47.41,47.75,46.57,47.04,0,0.0,0.0
2026-05-03,47.04,47.47,46.67,47.19,0,0.0,0.0
2026-05-04,47.19,48.14,46.73,48.05,0,0.0,0.0
2026-05-05,48.05,49.47,47.84,48.94,0,0.0,0.0
2026-05-06,48.94,50.4,48.44,49.88,0,0.0,0.0
2026-05-07,49.88,50.19,48.74,48.8,0,0.0,0.0
2026-05-10,48.8,49.33,48.05,48.34,0,0.0,0.0
2026-05-11,48.34,49.72,48.09,49.27,0,0.0,0.0
2026-05-12,49.27,49.36,48.18,48.43,0,0.0,0.0
2026-05-13,48.43,48.82,47.34,47.76,0,0.0,0.0
2026-05-14,47.76,48.39,47.31,48.3,0,0.0,0.0
2026-05-17,48.3,49.26,48.25,48.99,0,0.0,0.0
2026-05-18,48.99,49.07,48.14,48.31,0,0.0,0.0
2026-05-19,48.31,48.44,47.4,47.8,0,0.0,0.0
2026-05-20,47.8,48.18,47.37,47.38,0,0.0,0.0
2026-05-21,47.38,47.81,47.32,47.78,0,0.0,0.0
2026-05-24,47.78,48.04,47.11,47.58,0,0.0,0.0
2026-05-25,47.58,47.64,46.7,47.18,0,0.0,0.0
2026-05-26,47.18,47.53,47.11,47.42,0,0.0,0.0
2026-05-27,47.42,48.26,47.2,47.94,0,0.0,0.0
2026-05-28,47.94,48.22,47.53,47.88,0,0.0,0.0
2026-05-31,47.88,48.28,46.89,47.35,0,0.0,0.0
2026-06-01,47.35,47.72,47.2,47.24,0,0.0,0.0
2026-06-02,47.24,47.52,46.07,46.33,0,0.0,0.0
2026-06-03,46.33,46.5,45.35,45.62,0,0.0,0.0
2026-06-04,45.62,45.91,44.98,45.03,0,0.0,0.0
2026-06-07,45.03,45.86,44.78,45.64,0,0.0,0.0
2026-06-08,45.64,45.87,44.34,44.75,0,0.0,0.0
2026-06-09,44.75,45.15,44.18,44.55,0,0.0,0.0
2026-06-10,44.55,44.72,43.63,43.66,0,0.0,0.0
2026-06-11,43.66,44.52,43.21,44.49,0,0.0,0.0
2026-06-14,44.49,44.87,43.94,44.31,0,0.0,0.0
2026-06-15,44.31,44.79,43.83,44.59,0,0.0,0.0
2026-06-16,44.59,45.76,44.41,45.32,0,0.0,0.0
2026-06-17,45.32,45.91,44.99,45.64,0,0.0,0.0
2026-06-18,45.64,45.91,44.72,44.99,0,0.0,0.0
2026-06-21,44.99,44.99,44.43,44.44,0,0.0,0.0
2026-06-22,44.44,45.05,44.18,44.78,0,0.0,0.0
