time,authority,metal,session,unit,price,currency
1968-01-02,lbma,silver,default,g,0.069864,USD
1968-01-02,lbma,gold,am,g,1.131062,USD
1968-01-03,lbma,silver,default,g,0.071535,USD
1968-01-03,lbma,gold,am,g,1.130419,USD
1968-01-04,lbma,silver,default,g,0.069799,USD
1968-01-04,lbma,gold,am,g,1.129776,USD
1968-01-05,lbma,silver,default,g,0.069349,USD
1968-01-05,lbma,gold,am,g,1.129776,USD
1968-01-08,lbma,silver,default,g,0.069542,USD
1968-01-08,lbma,gold,am,g,1.129776,USD
1968-01-09,lbma,silver,default,g,0.067806,USD
1968-01-09,lbma,gold,am,g,1.129776,USD
1968-01-10,lbma,silver,default,g,0.067034,USD
1968-01-10,lbma,gold,am,g,1.130098,USD
1968-01-11,lbma,silver,default,g,0.067324,USD
1968-01-11,lbma,gold,am,g,1.130741,USD
1968-01-12,lbma,silver,default,g,0.068385,USD
1968-01-12,lbma,gold,am,g,1.131062,USD
1968-01-15,lbma,silver,default,g,0.067967,USD
1968-01-15,lbma,gold,am,g,1.131062,USD
1968-01-16,lbma,silver,default,g,0.06652,USD
1968-01-16,lbma,gold,am,g,1.131384,USD
1968-01-17,lbma,silver,default,g,0.066456,USD
1968-01-17,lbma,gold,am,g,1.131705,USD
1968-01-18,lbma,silver,default,g,0.066166,USD
1968-01-18,lbma,gold,am,g,1.131705,USD
1968-01-19,lbma,silver,default,g,0.066809,USD
1968-01-19,lbma,gold,am,g,1.131384,USD
1968-01-22,lbma,silver,default,g,0.067131,USD
1968-01-22,lbma,gold,am,g,1.131384,USD
1968-01-23,lbma,silver,default,g,0.066874,USD
1968-01-23,lbma,gold,am,g,1.131384,USD
1968-01-24,lbma,silver,default,g,0.066359,USD
1968-01-24,lbma,gold,am,g,1.131705,USD
1968-01-25,lbma,silver,default,g,0.06488,USD
1968-01-25,lbma,gold,am,g,1.131705,USD
1968-01-26,lbma,silver,default,g,0.06652,USD
1968-01-26,lbma,gold,am,g,1.131705,USD
1968-01-29,lbma,silver,default,g,0.065555,USD
1968-01-29,lbma,gold,am,g,1.131384,USD
1968-01-30,lbma,silver,default,g,0.064912,USD
1968-01-30,lbma,gold,am,g,1.131384,USD
1968-01-31,lbma,silver,default,g,0.063015,USD
